,DEPTH (M),BVW (V/V),CARB_FLAG (UNITLESS),COAL_FLAG (UNITLESS),PHIF (V/V),RHOFL (G/CM3),RHOMA (G/CM3),RW (OHMM),SAND_FLAG (UNITLESS),SW (V/V),TEMP (DEGC),VSH (V/V),KLOGH (MD)
173,3692.9568,0.098411,0.0,0.0,0.231646,0.8,2.66,0.021542,0.0,0.4248,113.3526,0.729427,0.0
174,3693.1092,0.096899,0.0,0.0,0.223688,0.8,2.66,0.0215414999999999,0.0,0.4332,113.3562,0.730182,0.0
175,3693.2616,0.0962929999999999,0.0,0.0,0.2316889999999999,0.8,2.66,0.0215409,0.0,0.4156,113.3598,0.730937,0.0
176,3693.414,0.093178,0.0,0.0,0.222081,0.8,2.66,0.0215403,0.0,0.4196,113.3634,0.731692,0.0
177,3693.5664,0.09059,0.0,0.0,0.215081,0.8,2.66,0.0215397,0.0,0.4212,113.3671,0.732448,0.0
178,3693.7188,0.089482,0.0,0.0,0.213983,0.8,2.66,0.0215391999999999,0.0,0.4182,113.3707,0.7332029999999999,0.0
179,3693.8712,0.0890979999999999,0.0,0.0,0.208623,0.8,2.66,0.0215385999999999,0.0,0.4271,113.3743,0.733958,0.0
180,3694.0236,0.0,0.0,0.0,0.0,0.8,2.66,0.0215379999999999,0.0,1.0,113.3779,0.7347130000000001,0.0
181,3694.176,0.049757,0.0,0.0,0.049757,0.8,2.66,0.0215374,0.0,1.0,113.3815,0.735468,0.0
182,3694.3284,0.092929,0.0,0.0,0.133541,0.8,2.66,0.0215368,0.0,0.6959,113.3851,0.7362229999999998,0.0
183,3694.4808,0.110802,0.0,0.0,0.170286,0.8,2.66,0.0215363,0.0,0.6507,113.3887,0.736978,0.0
184,3694.6332,0.1239779999999999,0.0,0.0,0.174714,0.8,2.66,0.0215357,0.0,0.7096,113.3923,0.7377329999999999,0.0
185,3694.7856,0.13468,0.0,0.0,0.182764,0.8,2.66,0.0215351,0.0,0.7369,113.396,0.738488,0.0
186,3694.938,0.1355869999999999,0.0,0.0,0.175834,0.8,2.66,0.0215345,0.0,0.7711,113.3996,0.739243,0.0
187,3695.0904,0.131959,0.0,0.0,0.184375,0.8,2.66,0.021534,0.0,0.7157,113.4032,0.7399979999999999,0.0
188,3695.2428,0.1176789999999999,0.0,0.0,0.163523,0.8,2.66,0.0215334,0.0,0.7196,113.4068,0.740753,0.0
189,3695.3952,0.1159359999999999,0.0,0.0,0.2218119999999999,0.8,2.66,0.0215328,0.0,0.5227,113.4104,0.741508,0.0
190,3695.5476,0.105426,0.0,0.0,0.209191,0.8,2.66,0.0215322,0.0,0.504,113.414,0.742263,0.0
191,3695.7,0.100965,0.0,0.0,0.2086039999999999,0.8,2.66,0.0215317,0.0,0.484,113.4176,0.743019,0.0
192,3695.8524,0.101778,0.0,0.0,0.224132,0.8,2.66,0.0215310999999999,0.0,0.4541,113.4212,0.7437739999999999,0.0
193,3696.0048,0.102516,0.0,0.0,0.230084,0.8,2.66,0.0215305,0.0,0.4456,113.4248,0.744529,0.0
194,3696.1572,0.103679,0.0,0.0,0.2429599999999999,0.8,2.66,0.0215299,0.0,0.4267,113.4284,0.7452840000000001,0.0
195,3696.3096,0.101823,0.0,0.0,0.234978,0.8,2.66,0.0215294,0.0,0.4333,113.4321,0.746039,0.0
196,3696.462,0.100846,0.0,0.0,0.236017,0.8,2.66,0.0215287999999999,0.0,0.4273,113.4357,0.7467939999999998,0.0
197,3696.6144,0.0998309999999999,0.0,0.0,0.236557,0.8,2.66,0.0215282,0.0,0.422,113.4393,0.747549,0.0
198,3696.7668,0.098429,0.0,0.0,0.23174,0.8,2.66,0.0215275999999999,0.0,0.4247,113.4429,0.7483039999999999,0.0
199,3696.9192,0.096131,0.0,0.0,0.21619,0.8,2.66,0.0215270999999999,0.0,0.4447,113.4465,0.749059,0.0
200,3697.0716,0.096579,0.0,0.0,0.22202,0.8,2.66,0.0215264999999999,0.0,0.435,113.4501,0.749814,0.0
201,3697.224,0.09749,0.0,0.0,0.232753,0.8,2.66,0.0215259,0.0,0.4189,113.4537,0.7505689999999999,0.0
202,3697.3764,0.097588,0.0,0.0,0.2364909999999999,0.8,2.66,0.0215252999999999,0.0,0.4126,113.4573,0.751324,0.0
